MÁSTER CURSADO,AÑO ACADÉMICO,UNIVERSIDAD DE PROCEDENCIA,ASIGNATURA CURSADA,ASIGNATURA RECONOCIDA EN MUPEE
"MÁSTER EN PROFESORADO DE ESO Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2019-20,UNIVERSIDAD DE MÁLAGA,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER EN PROFESORADO DE EDUCACIÓN SECUNDARIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2011-12,UNIVERSIDAD PABLO DE OLAVIDE,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2011-12,UNIVERSIDAD DE ALICANTE,INICIACIÓN A LA INNOVACIÓN E INVESTIGACIÓN EN LA ENSEÑANZA DE LA EDUCACIÓN FÍSICA Y DEPORTIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS EN LA ESPECIALIDAD DE ECONOMÍA Y EMPRESAS",2015-16,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),RECURSOS DIDÁCTICOS DE ECONOMÍA Y EMPRESAS + TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN,LA EDUCACIÓN EN LA SOCIEDAD DIGITAL
"MÁSTER UNIVERSITARIO EN FORMACIÓN DE PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2018-19,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER EN PROFESORADO DE ESO, BACHILLERATO, FORM. PROFESIONAL Y EN. IDIOMAS",2015-16,UNIVERSIDAD DE JAÉN,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN BIOLOGÍA Y GEOLOGÍA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO EN PROFESORADO DE ESO Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS",2010-11,UNIVERSIDAD DE GRANADA,INNOVACIÓN DOCENTE E INVESTIGACIÓN EDUCATIVA EN FORMACIÓN PROFESIONAL,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN INVESTIGACIÓN EN CIENCIAS DEL DEPORTE,2013-14,UNIVERSIDAD DE CASTILLA LA MANCHA,EL CONOCIMIENTO CIENTÍFICO Y EL PROCESO DE INVESTIGACIÓN,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN INVESTIGACIÓN EN CIENCIAS DEL DEPORTE,2013-14,UNIVERSIDAD DE CASTILLA LA MANCHA,METODOLOGÍAS Y DISEÑOS DE INVESTIGACIÓN + ANÁLISIS DE DATOS MULTIVARIANTES,DISEÑO DE INVESTIGACIÓN Y ANÁLISIS DE DATOS EN EDUCACIÓN
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA Y BACHILLERATO, FORMACIÓN PROFESIONAL Y ENSEÑANZA DE IDIOMAS EN LA ESPECIALIDAD EN EDUCACIÓN FÍSICA",2014-15,UNIVERSIDAD INTERNACIONAL ISABEL I DE CASTILLA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA EN EDUCACIÓN FÍSICA + INNOVACIÓN DOCENTE EN EDUCACIÓN FÍSICA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
"MÁSTER UNIVERSITARIO EN FORMACIÓN DEL PROFESORADO DE EDUCACIÓN SECUNDARIA OBLIGATORIA, BACHILLERATO, FORMACIÓN PROFESIONAL, ENSEÑANZA DE IDIOMAS Y ENSEÑANZAS DEPORTIVAS",2014-15,UNIVERSIDAD EUROPEA MADRID,INNOVACIÓN DOCENTE E INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN ORIENTACIÓN E INTERVENCIÓN PSICOPEDAGÓGICA,2019-20,UNIVERSIDAD CAMILO JOSÉ CELA,METODOLOGÍA DE LA INVESTIGACIÓN EN EDUCACIÓN + INNOVACIÓN EDUCATIVA,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN EDUCACIÓN SECUNDARIA,2014-15,UNIVERSIDAD CAMILO JOSÉ CELA,"METODOLOGÍA DE LA INVESTIGACIÓN EDUCATIVA + DISEÑO, DESARROLLO E INNOVACIÓN DEL CURRÍCULUM",INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN ATENCIÓN A NECESIDADES EDUCATIVAS ESPECIALES EN EDUACIÓN INFANTIL Y PRIMARIA,2015-16,UNIVERSIDAD REY JUAN CARLOS,METODOLOGÍA DE LA INVESTIGACIÓN,INICIACIÓN A LA INVESTIGACIÓN EDUCATIVA
MÁSTER UNIVERSITARIO EN EDUCACIÓN INCLUSIVA E INTERCULTURAL,2019-20,UNIVERSIDAD INTERNACIONAL DE LA RIOJA (UNIR),"METODOLOGÍAS ACTIVAS EN EDUCACIÓN INTERCULTURAL + PLANIFICACIÓN E INNOVACIÓN EN EDUCACIÓN INCLUSIVA E
INTERCULTURAL",NUEVOS MODELOS Y RECURSOS EN LA PRÁCTICA DOCENTE
